val,target
2115, 1
2118, 1
2118, 1
2121, 1
2122, 1
2122, 1
2123, 1
2110, 1
2063, 1
2098, 1
2101, 1
1961, 1
2094, 1
2078, 1
1992, 1
2020, 1
2055, 1
2034, 1
2001, 1
2007, 1
2016, 1
2213, 1
2203, 1
2200, 1
2195, 1
2188, 1
2200, 1
2205, 1
2224, 1
2241, 1
2231, 0
2215, 0
2208, 0
2206, 0
2211, 0
2199, 0
2200, 0
2194, 0
2218, 0
2201, 0
2218, 0
2202, 0
2209, 0
2226, 0
2222, 0
2222, 0
2219, 0
2212, 0
2197, 0
2232, 0
2205, 0
2209, 0
2240, 0
2217, 0
2233, 0
2232, 0
2227, 0
2231, 0
2218, 0
2231, 0
2197, 0
2223, 0
2224, 0
2227, 0
2219, 0
2251, 0
2214, 0
2232, 0
2232, 0
2218, 0
2213, 0
2212, 0
2229, 0
2207, 0
2204, 0
2229, 0
2210, 0
2212, 0
2229, 0
2221, 0
2218, 0
2207, 0
2221, 0
2239, 0
2214, 0
2215, 0
2230, 0
2218, 0
2219, 0
2201, 0
2202, 0
2220, 0
2205, 0
2206, 0
2196, 0
2216, 0
2198, 0
2211, 0
2208, 0
2219, 0
2235, 0
2235, 0
2208, 0
2230, 0
2224, 0
2204, 0
2208, 0
2223, 0
2215, 0
2247, 0
2247, 0
2226, 0
2233, 0
2233, 0
2245, 0
2203, 0
2214, 0
2214, 0
2235, 0
2211, 0
2200, 0
2200, 0
2219, 0
2221, 0
2227, 0
2226, 0
2212, 0
2229, 0
2226, 0
2216, 0
2219, 0
2220, 0
2221, 0
2220, 0
2217, 0
2202, 0
2212, 0
2230, 0
2244, 0
2195, 0
2221, 0
2218, 0
2231, 0
2210, 0
2243, 0
2212, 0
2233, 0
2215, 0
2239, 0
2236, 0
2231, 0
2237, 0
2245, 0
2222, 0
2246, 0
2218, 0
2219, 0
2217, 0
2226, 0
2223, 0
2222, 0
2238, 0
2232, 0
2220, 0
2201, 0
2214, 0
2259, 0
2232, 0
2233, 0
2233, 2
2073, 2
2076, 2
2077, 2
2076, 2
2081, 2
2076, 2
2101, 2
2103, 2
2088, 2
2103, 2
2108, 2
2114, 2
2110, 2
2106, 2
2105, 2
2108, 2
2106, 2
2104, 2
2103, 2
2100, 2
2098, 2
2091, 2
2094, 2
2093, 2
2100, 2
2101, 2
2101, 2
2105, 2
2105, 2
2102, 0
2101, 0
2098, 0
2098, 0
2099, 0
2100, 0
2106, 0
2108, 0
2107, 0
2108, 0
2108, 0
2101, 0
2099, 0
2099, 0
2102, 0
2105, 0
2107, 0
2109, 0
2109, 0
2110, 0
2108, 0
2105, 0
2101, 0
2101, 0
2101, 0
2103, 0
2107, 0
2108, 0
2109, 0
2111, 0
2108, 0
2105, 0
2102, 0
2101, 0
2102, 0
2101, 0
2107, 0
2110, 0
2110, 0
2109, 0
2105, 0
2104, 0
2099, 0
2100, 0
2097, 0
2101, 0
2105, 0
2108, 0
2110, 0
2111, 0
2110, 0
